Title,Description,FileName
bacteria,Presence of Bacteria after Drug Treatments,bacteria.csv
beav1,Body Temperature Series of Beaver 1,beav1.csv
beav2,Body Temperature Series of Beaver 2,beav2.csv
biopsy,Biopsy Data on Breast Cancer Patients,biopsy.csv
birthwt,Risk Factors Associated with Low Infant Birth Weight,birthwt.csv
cabbages,Data from a cabbage field trial,cabbages.csv
caith,Colours of Eyes and Hair of People in Caithness,caith.csv
cats,Anatomical Data from Domestic Cats,cats.csv
cement,Heat Evolved by Setting Cements,cement.csv
chem,Copper in Wholemeal Flour,chem.csv
coop,Co-operative Trial in Analytical Chemistry,coop.csv
cpus,Performance of Computer CPUs,cpus.csv
crabs,Morphological Measurements on Leptograpsus Crabs,crabs.csv
deaths,Monthly Deaths from Lung Diseases in the UK,deaths.csv
drivers,Deaths of Car Drivers in Great Britain 1969-84,drivers.csv
eagles,Foraging Ecology of Bald Eagles,eagles.csv
epil,Seizure Counts for Epileptics,epil.csv
farms,Ecological Factors in Farm Management,farms.csv
fgl,Measurements of Forensic Glass Fragments,fgl.csv
forbes,Forbes' Data on Boiling Points in the Alps,forbes.csv
galaxies,Velocities for 82 Galaxies,galaxies.csv
gehan,Remission Times of Leukaemia Patients,gehan.csv
genotype,Rat Genotype Data,genotype.csv
geyser,Old Faithful Geyser Data,geyser.csv
gilgais,Line Transect of Soil in Gilgai Territory,gilgais.csv
hills,Record Times in Scottish Hill Races,hills.csv
housing,Frequency Table from a Copenhagen Housing Conditions Survey,housing.csv
immer,Yields from a Barley Field Trial,immer.csv
leuk,Survival Times and White Blood Counts for Leukaemia Patients,leuk.csv
mammals,Brain and Body Weights for 62 Species of Land Mammals,mammals.csv
mcycle,Data from a Simulated Motorcycle Accident,mcycle.csv
menarche,Age of Menarche in Warsaw,menarche.csv
michelson,Michelson's Speed of Light Data,michelson.csv
minn38,Minnesota High School Graduates of 1938,minn38.csv
